# x,f(x)
0.6666,0.9848
5.0990,-0.9504
1.1435,0.6792
0.6651,0.9842
2.8765,-0.2558
3.2673,0.5310
8.6620,-0.6503
1.4967,0.0070
9.5430,0.9075
8.7261,-0.5426
4.6213,-0.2513
4.1642,0.6468
7.4077,0.1921
9.6045,0.9539
8.4587,-0.9060
2.9091,-0.1893
6.0769,0.1604
8.0432,-0.9077
6.9639,0.9013
6.5452,0.9094
6.2533,0.5060
6.2715,0.5386
9.4906,0.8560
8.2623,-0.9997
0.8644,0.9715
6.8146,0.9909
8.1722,-0.9868
6.7124,0.9969
2.0468,-0.9108
5.1814,-0.9897
7.7470,-0.4946
6.9199,0.9373
2.0783,-0.9360
1.8300,-0.6373
7.3685,0.2720
1.7002,-0.4072
7.2051,0.5792
3.2464,0.4934
7.8268,-0.6323
6.6327,0.9700
6.2887,0.5684
9.1156,0.2397
6.4159,0.7651
5.7316,-0.5330
0.5850,0.9409
6.9477,0.9155
1.2748,0.4543
4.4716,0.0594
1.5542,-0.1132
5.8774,-0.2539
2.0181,-0.8844
2.7695,-0.4642
8.8764,-0.2560
7.4486,0.1074
7.6307,-0.2704
6.7842,0.9974
0.4787,0.8428
1.2555,0.4901
0.7514,1.0000
5.1086,-0.9564
7.7290,-0.4615
9.4084,0.7548
6.7569,0.9999
6.1361,0.2813
4.4889,0.0233
9.7150,0.9973
1.4470,0.1107
2.0609,-0.9226
0.7642,0.9996
1.7146,-0.4345
7.7253,-0.4545
8.3281,-0.9867
2.8102,-0.3871
3.5601,0.9220
3.2743,0.5434
3.7265,0.9988
2.0977,-0.9495
1.7408,-0.4831
0.1499,0.3088
1.1558,0.6601
8.7871,-0.4313
6.0435,0.0910
6.9314,0.9287
9.0702,0.1464
7.6458,-0.3006
9.0243,0.0509
8.0753,-0.9338
5.0831,-0.9396
4.0939,0.7516
3.3532,0.6741
2.7614,-0.4793
5.7393,-0.5192
2.8596,-0.2898
6.9953,0.8709
0.8249,0.9877
0.6058,0.9547
0.6968,0.9938
4.6499,-0.3088
7.7419,-0.4853
9.5260,0.8920
1.1123,0.7257
2.1339,-0.9706
3.5064,0.8727
4.4754,0.0516
1.4294,0.1474
6.3116,0.6072
4.8689,-0.6980
3.1782,0.3645
3.9487,0.9146
1.7312,-0.4656
2.0553,-0.9180
3.5461,0.9102
3.9326,0.9277
3.9041,0.9484
9.5651,0.9259
5.3900,-0.9573
0.6812,0.9896
2.4712,-0.8946
1.1561,0.6595
2.9168,-0.1734
0.5675,0.9279
1.8110,-0.6063
8.9071,-0.1934
8.8153,-0.3772
9.1159,0.2403
7.9904,-0.8558
8.4990,-0.8670
5.5806,-0.7697
5.0636,-0.9247
1.5244,-0.0512
2.0910,-0.9450
6.1896,0.3867
5.8154,-0.3771
0.8203,0.9892
3.1889,0.3854
0.6570,0.9811
6.1305,0.2699
6.4854,0.8503
3.8422,0.9814
5.6077,-0.7322
3.6052,0.9544
2.5233,-0.8406
8.9918,-0.0172
1.3028,0.4014
6.0441,0.0923
3.7571,0.9999
6.8237,0.9881
1.5622,-0.1299
7.5837,-0.1745
6.1005,0.2090
7.1015,0.7410
3.6411,0.9741
1.8082,-0.6016
5.6555,-0.6605
7.8239,-0.6275
4.3319,0.3449
2.0634,-0.9246
1.6562,-0.3213
8.4972,-0.8689
5.4907,-0.8756
0.8157,0.9905
5.7076,-0.5748
8.8034,-0.4003
5.4516,-0.9122
6.5324,0.8979
8.1972,-0.9939
5.5344,-0.8277
3.5380,0.9031
8.7779,-0.4486
3.9538,0.9102
2.9306,-0.1449
2.7182,-0.5565
5.5375,-0.8241
6.3279,0.6341
6.9661,0.8994
7.9668,-0.8292
0.6969,0.9938
7.1758,0.6280
1.8218,-0.6240
9.7210,0.9982
5.2113,-0.9967
7.0601,0.7964
6.7523,1.0000
7.4865,0.0282
5.2865,-0.9971
9.1711,0.3508
2.4817,-0.8846
3.9843,0.8820
3.2386,0.4792
3.8829,0.9615
7.7055,-0.4172
8.8908,-0.2267
6.3425,0.6573
3.1673,0.3432
6.6139,0.9597
8.1234,-0.9651
6.8065,0.9930
0.2699,0.5357
9.2003,0.4072
0.9029,0.9492
8.4340,-0.9267
0.0219,0.0459
0.3820,0.7173
5.4237,-0.9346
0.7903,0.9964
1.1477,0.6726
1.1363,0.6902
4.4870,0.0273
3.1449,0.2989
4.3820,0.2445
7.8775,-0.7108
5.7716,-0.4603
2.0699,-0.9297
0.1066,0.2215
7.6695,-0.3476
6.1557,0.3204
7.3828,0.2430
7.2344,0.5280
8.8955,-0.2171
3.1164,0.2414
6.9409,0.9211
9.6785,0.9888
0.2294,0.4622
4.6710,-0.3505
3.9306,0.9293
6.8910,0.9567
8.4140,-0.9416
2.7632,-0.4759
1.9971,-0.8630
8.9045,-0.1987
2.6244,-0.7081
3.0787,0.1641
5.0175,-0.8838
6.7202,0.9981
0.8238,0.9881
7.8523,-0.6727
7.3932,0.2218
3.1909,0.3892
3.2830,0.5586
0.7145,0.9972
1.8195,-0.6203
2.1856,-0.9909
6.1064,0.2210
3.0510,0.1066
1.3521,0.3047
8.9308,-0.1443
3.9895,0.8768
0.0573,0.1196
1.1888,0.6066
1.5152,-0.0319
2.7959,-0.4146
9.8932,0.9554
1.0834,0.7659
1.0921,0.7542
9.3449,0.6612
2.6759,-0.6278
1.0611,0.7952
7.9113,-0.7587
1.5864,-0.1800
6.8220,0.9886
8.0075,-0.8738
9.9064,0.9468
1.5837,-0.1744
5.8704,-0.2681
8.4556,-0.9087
7.7134,-0.4323
2.3623,-0.9725
5.6246,-0.7077
5.7759,-0.4523
6.5627,0.9240
4.4879,0.0253
0.9719,0.8939
4.2698,0.4638
5.9108,-0.1857
3.3653,0.6927
7.5098,-0.0206
8.6042,-0.7372
3.6873,0.9914
7.6721,-0.3528
1.8924,-0.7324
1.1626,0.6493
3.2936,0.5769
6.9510,0.9127
8.6517,-0.6665
6.4800,0.8443
0.2756,0.5456
8.8533,-0.3025
4.5559,-0.1168
8.5686,-0.7856
2.3730,-0.9670
9.0519,0.1085
4.2074,0.5751
0.0383,0.0801
1.8379,-0.6500
5.4454,-0.9175
0.3109,0.6060
7.8688,-0.6978
2.5313,-0.8314
5.3415,-0.9817
5.9083,-0.1909
0.8082,0.9926
2.5572,-0.8001
8.0491,-0.9127
4.4125,0.1821
6.5524,0.9156
8.2271,-0.9989
0.8164,0.9903
8.1216,-0.9641
9.1435,0.2961
8.1218,-0.9642
4.6173,-0.2431
1.3662,0.2767
9.2280,0.4596
4.8944,-0.7352
3.4083,0.7546
6.0385,0.0806
7.7687,-0.5334
6.9940,0.8723
5.7292,-0.5373
0.3057,0.5974
1.3294,0.3498
5.7413,-0.5157
5.9696,-0.0636
7.8393,-0.6524
7.7765,-0.5473
4.2872,0.4311
1.6849,-0.3777
5.9655,-0.0722
8.4952,-0.8710
0.6297,0.9684
4.9207,-0.7715
4.4119,0.1835
5.6962,-0.5942
0.5382,0.9033
1.9321,-0.7864
8.7563,-0.4886
1.2611,0.4798
2.0580,-0.9202
9.5015,0.8676
1.7635,-0.5242
3.9496,0.9139
1.5085,-0.0179
8.7050,-0.5792
9.8372,0.9834
7.1886,0.6070
8.2451,-0.9999
8.2283,-0.9990
3.8807,0.9628
2.5188,-0.8457
4.2380,0.5216
0.8917,0.9563
8.5102,-0.8552
0.5775,0.9355
9.4039,0.7486
9.3513,0.6711
6.4080,0.7543
3.9782,0.8879
4.5122,-0.0256
0.6031,0.9531
9.7127,0.9970
4.4200,0.1667
2.3283,-0.9866
9.2739,0.5427
2.9351,-0.1356
6.8567,0.9751
1.7781,-0.5501
0.5466,0.9107
7.8215,-0.6236
4.1323,0.6963
3.6551,0.9803
9.8275,0.9869
9.0533,0.1114
5.5921,-0.7541
1.5490,-0.1025
2.7964,-0.4137
3.5642,0.9252
6.3016,0.5905
6.6071,0.9556
1.3712,0.2664
2.9890,-0.0231
2.4641,-0.9011
2.7120,-0.5672
0.3645,0.6914
3.6249,0.9659
0.0044,0.0093
9.2084,0.4227
0.9118,0.9432
5.5477,-0.8118
2.8619,-0.2852
1.3376,0.3336
1.6670,-0.3427
7.0846,0.7643
4.0624,0.7935
2.2638,-0.9996
1.0422,0.8185
1.0992,0.7443
5.9363,-0.1331
3.8592,0.9739
9.4276,0.7806
1.7505,-0.5010
8.8050,-0.3972
5.4486,-0.9148
2.1699,-0.9860
7.7151,-0.4354
5.6880,-0.6079
7.0479,0.8116
2.6024,-0.7398
1.8485,-0.6668
9.9077,0.9459
8.6280,-0.7026
9.9917,0.8746
0.8905,0.9570
9.9818,0.8844
3.6868,0.9912
0.0982,0.2042
7.9674,-0.8299
0.8045,0.9935
8.9649,-0.0734
4.7714,-0.5383
3.9511,0.9126
2.2583,-0.9999
9.6538,0.9798
0.6953,0.9935
8.6123,-0.7257
7.5965,-0.2007
3.0720,0.1502
9.5785,0.9362
8.9424,-0.1204
7.7571,-0.5127
5.8200,-0.3681
5.6467,-0.6743
1.9900,-0.8554
2.0146,-0.8809
3.3352,0.6457
9.2073,0.4206
7.5353,-0.0739
0.0163,0.0342
1.8864,-0.7238
9.7438,0.9999
2.5284,-0.8347
9.1850,0.3778
9.4922,0.8577
8.7136,-0.5645
9.4272,0.7801
2.7094,-0.5717
0.8968,0.9531
7.8394,-0.6525
7.7817,-0.5563
9.3880,0.7261
2.3729,-0.9670
4.0655,0.7895
3.6579,0.9814
9.5176,0.8839
5.6469,-0.6739
5.3178,-0.9899
4.3107,0.3862
5.6751,-0.6292
0.3440,0.6597
9.3544,0.6759
1.0651,0.7900
3.4013,0.7450
3.5443,0.9086
3.2566,0.5120
5.4062,-0.9470
9.5055,0.8718
1.5920,-0.1916
8.7271,-0.5410
9.2284,0.4603
3.8551,0.9759
1.9181,-0.7680
8.9864,-0.0285
6.9096,0.9447
8.7187,-0.5556
9.3339,0.6436
5.9227,-0.1611
3.9236,0.9346
2.9767,-0.0488
4.6229,-0.2547
5.3569,-0.9750
9.5878,0.9429
0.6693,0.9858
2.9102,-0.1869
0.8958,0.9537
1.9036,-0.7481
7.0805,0.7699
5.3966,-0.9532
6.7334,0.9994
2.8623,-0.2844
4.9524,-0.8120
2.7028,-0.5830
1.8636,-0.6900
4.3466,0.3159
5.2887,-0.9967
5.5922,-0.7540
8.6578,-0.6569
0.4012,0.7448
3.4681,0.8308
7.0294,0.8336
2.5208,-0.8434
6.4075,0.7535
1.5474,-0.0991
0.8358,0.9839
2.3443,-0.9806
7.5249,-0.0521
0.3959,0.7373
7.0860,0.7624
2.6784,-0.6238
8.9332,-0.1394
2.5712,-0.7821
5.7741,-0.4557
7.4807,0.0405
8.9498,-0.1050
0.4394,0.7957
1.7610,-0.5198
7.5433,-0.0906
7.0658,0.7891
8.2789,-0.9982
5.3329,-0.9850
7.6927,-0.3928
2.1456,-0.9762
7.4707,0.0613
6.6424,0.9747
0.3560,0.6785
5.9325,-0.1408
9.6493,0.9778
0.4894,0.8547
5.3408,-0.9820
2.3286,-0.9865
2.2723,-0.9989
7.3053,0.3965
7.1430,0.6800
7.6870,-0.3817
7.6336,-0.2762
9.8030,0.9938
8.1342,-0.9707
7.0858,0.7627
6.9069,0.9465
7.2353,0.5265
5.5343,-0.8279
7.8818,-0.7172
4.8558,-0.6782
3.9188,0.9381
4.4686,0.0657
9.8050,0.9934
7.4238,0.1589
9.2999,0.5876
0.9871,0.8793
5.4309,-0.9291
9.8305,0.9858
0.8870,0.9591
3.1086,0.2255
9.7658,0.9994
9.6438,0.9754
3.7006,0.9947
1.5770,-0.1606
4.7652,-0.5273
1.3480,0.3129
9.1071,0.2224
9.6311,0.9691
3.4069,0.7528
6.6282,0.9676
5.6693,-0.6385
5.3748,-0.9660
1.8441,-0.6599
6.5824,0.9390
0.0940,0.1956
7.2726,0.4585
6.2719,0.5392
0.1080,0.2244
2.1391,-0.9731
3.9033,0.9489
7.4319,0.1421
7.0360,0.8259
8.6052,-0.7359
4.8237,-0.6272
9.6265,0.9667
5.9896,-0.0219
0.0876,0.1825
3.4607,0.8219
0.0533,0.1115
4.9964,-0.8623
4.5833,-0.1737
3.2182,0.4413
5.5972,-0.7471
3.4631,0.8248
7.1368,0.6894
2.5651,-0.7900
0.0492,0.1028
1.9845,-0.8493
9.9475,0.9157
4.3047,0.3978
2.6167,-0.7193
6.0922,0.1918
7.1055,0.7353
5.9486,-0.1075
3.3793,0.7135
4.2520,0.4963
8.9299,-0.1462
0.9733,0.8926
2.3003,-0.9944
4.4907,0.0195
2.0939,-0.9470
2.0093,-0.8756
5.2475,-1.0000
7.3967,0.2146
2.3250,-0.9877
9.4236,0.7753
2.4950,-0.8712
8.0292,-0.8949
8.4438,-0.9188
2.6527,-0.6649
6.1451,0.2992
9.8842,0.9608
9.6149,0.9602
6.9761,0.8900
5.2691,-0.9992
1.3113,0.3849
2.4373,-0.9241
7.3941,0.2200
2.1046,-0.9540
6.8558,0.9756
8.1752,-0.9878
3.2238,0.4518
1.9363,-0.7918
8.2342,-0.9995
7.1567,0.6586
5.3153,-0.9907
4.8613,-0.6866
2.6319,-0.6968
5.2887,-0.9967
9.7331,0.9994
6.2140,0.4333
4.0498,0.8093
7.7608,-0.5194
4.8536,-0.6747
1.2397,0.5185
1.6050,-0.2182
4.1668,0.6426
6.8912,0.9566
4.5945,-0.1966
6.6814,0.9897
9.9679,0.8976
0.7842,0.9974
4.4976,0.0051
6.8134,0.9912
8.7990,-0.4086
3.4940,0.8597
4.2497,0.5005
7.9399,-0.7964
5.3752,-0.9658
5.5734,-0.7792
6.1370,0.2830
4.7630,-0.5233
7.2266,0.5419
3.7022,0.9950
4.1650,0.6454
3.5983,0.9499
5.7307,-0.5345
2.8986,-0.2108
4.3632,0.2826
5.6954,-0.5956
6.8060,0.9931
3.1883,0.3842
3.4787,0.8428
2.1229,-0.9648
8.2809,-0.9979
0.9307,0.9292
0.3869,0.7245
7.5659,-0.1375
2.7342,-0.5284
8.2234,-0.9984
6.6585,0.9817
2.7530,-0.4946
1.3510,0.3069
6.9228,0.9352
5.1972,-0.9939
5.9388,-0.1277
5.2246,-0.9986
8.3113,-0.9918
5.6794,-0.6222
6.8034,0.9938
8.3590,-0.9741
4.5914,-0.1902
5.4623,-0.9028
0.1485,0.3061
0.6220,0.9643
2.6406,-0.6836
3.1607,0.3303
5.3974,-0.9527
2.1489,-0.9777
7.7217,-0.4479
7.8135,-0.6104
3.8784,0.9641
0.7502,1.0000
1.9051,-0.7503
7.1366,0.6897
1.1381,0.6875
5.1368,-0.9720
0.0697,0.1454
5.9170,-0.1729
8.0878,-0.9428
5.7518,-0.4967
0.6167,0.9613
4.6990,-0.4048
8.9490,-0.1067
9.9899,0.8765
9.7257,0.9987
3.9513,0.9124
5.6739,-0.6312
9.0807,0.1683
8.7026,-0.5834
5.0828,-0.9393
7.0065,0.8592
5.2114,-0.9967
1.5420,-0.0879
4.7364,-0.4751
5.3167,-0.9903
5.9191,-0.1686
2.9360,-0.1337
8.7056,-0.5783
7.2242,0.5461
5.1120,-0.9585
1.7661,-0.5289
6.8042,0.9936
0.8908,0.9568
4.8321,-0.6409
9.7668,0.9994
1.7709,-0.5374
2.7912,-0.4235
4.7644,-0.5258
8.7501,-0.4999
2.4689,-0.8967
4.4662,0.0708
1.7222,-0.4487
2.1471,-0.9769
2.7261,-0.5427
4.5715,-0.1492
8.6993,-0.5890
8.4912,-0.8750
2.8310,-0.3467
5.6205,-0.7137
0.0769,0.1603
0.4374,0.7933
2.2671,-0.9994
8.2199,-0.9980
5.5231,-0.8409
1.2120,0.5672
6.0630,0.1315
8.7378,-0.5220
4.4210,0.1647
9.2093,0.4245
6.2283,0.4601
6.0430,0.0899
9.8012,0.9943
3.9308,0.9292
4.2633,0.4757
6.9230,0.9351
7.2337,0.5293
8.2581,-0.9999
7.8271,-0.6327
5.8629,-0.2832
8.3614,-0.9729
0.6945,0.9933
5.8154,-0.3771
4.0591,0.7976
2.9579,-0.0880
3.4155,0.7645
0.9425,0.9198
5.1484,-0.9775
1.4691,0.0646
8.6319,-0.6969
7.5222,-0.0465
5.9845,-0.0325
1.9337,-0.7885
2.4419,-0.9203
1.4567,0.0905
1.8137,-0.6108
8.9621,-0.0794
5.6258,-0.7059
9.6864,0.9911
1.1969,0.5931
9.8381,0.9830
7.2885,0.4285
2.2262,-0.9988
3.2642,0.5256
5.1123,-0.9587
2.9843,-0.0329
1.3092,0.3890
4.9111,-0.7584
6.9199,0.9373
3.4050,0.7501
1.1166,0.7194
3.3976,0.7397
9.8986,0.9519
7.9589,-0.8198
1.5845,-0.1761
2.1366,-0.9719
6.3182,0.6183
9.8499,0.9782
1.0603,0.7961
7.7220,-0.4484
7.7417,-0.4849
2.4413,-0.9208
0.8847,0.9605
6.9499,0.9136
0.6058,0.9548
5.0693,-0.9293
2.4081,-0.9457
5.5999,-0.7433
6.9513,0.9124
4.3906,0.2271
6.2321,0.4671
2.6680,-0.6406
2.7119,-0.5675
1.6799,-0.3678
9.4035,0.7481
2.6561,-0.6596
0.4660,0.8283
7.1928,0.6000
2.7828,-0.4394
4.0994,0.7440
7.7707,-0.5371
5.8057,-0.3958
0.2218,0.4480
8.2107,-0.9966
4.0844,0.7646
6.1639,0.3366
9.8640,0.9716
3.2251,0.4543
1.9556,-0.8158
1.4036,0.2005
3.0449,0.0939
8.6749,-0.6294
9.3573,0.6805
3.1945,0.3961
1.3936,0.2209
7.7427,-0.4868
2.2637,-0.9996
7.0315,0.8312
1.8631,-0.6892
0.5618,0.9233
8.6263,-0.7052
9.0947,0.1970
6.6298,0.9685
1.8249,-0.6292
3.4210,0.7718
6.3755,0.7079
6.9252,0.9334
2.2864,-0.9971
5.1240,-0.9654
2.0103,-0.8766
9.0064,0.0135
8.2622,-0.9997
4.5035,-0.0073
3.5383,0.9033
6.0738,0.1541
4.8996,-0.7425
8.5469,-0.8128
2.4413,-0.9208
0.9870,0.8793
5.5747,-0.7776
8.9919,-0.0169
4.6541,-0.3171
6.6126,0.9589
7.4458,0.1133
9.4539,0.8138
0.5879,0.9429
8.0223,-0.8884
